,problem_file,index,third-place_check,first-place_check,merged_check,third-place_indices,first-place_indices,merged_indices
0,AboveBelow1.json,0,False,True,True,,1,1
1,AboveBelow1.json,1,True,True,True,1,1,1
2,AboveBelow1.json,2,False,True,True,,3,3
3,AboveBelow10.json,0,True,True,True,"1, 3",1,1
4,AboveBelow10.json,1,True,True,True,"1, 3",2,2
5,AboveBelow10.json,2,False,True,True,,1,1
6,AboveBelow2.json,0,False,True,True,,1,1
7,AboveBelow2.json,1,True,True,True,"1, 2, 3",1,1
8,AboveBelow2.json,2,False,True,True,,1,1
9,AboveBelow3.json,0,False,False,False,,,
10,AboveBelow3.json,1,False,False,False,,,
11,AboveBelow3.json,2,False,True,True,,2,2
12,AboveBelow4.json,0,False,False,False,,,
13,AboveBelow4.json,1,False,False,False,,,
14,AboveBelow4.json,2,False,False,False,,,
15,AboveBelow5.json,0,False,True,True,,1,1
16,AboveBelow5.json,1,False,True,True,,1,1
17,AboveBelow5.json,2,False,True,True,,1,1
18,AboveBelow6.json,0,True,True,True,"1, 2, 3",1,1
19,AboveBelow6.json,1,True,True,True,"1, 2, 3",1,1
20,AboveBelow6.json,2,True,True,True,"1, 2, 3",1,1
21,AboveBelow7.json,0,False,False,False,,,
22,AboveBelow7.json,1,False,False,False,,,
23,AboveBelow7.json,2,False,False,False,,,
24,AboveBelow8.json,0,False,True,True,,1,1
25,AboveBelow8.json,1,False,True,True,,1,1
26,AboveBelow8.json,2,False,False,False,,,
27,AboveBelow9.json,0,True,True,True,"1, 2, 3",2,2
28,AboveBelow9.json,1,True,True,True,"1, 2, 3",1,1
29,AboveBelow9.json,2,True,True,True,"1, 2, 3",1,1
30,AboveBelowMinimal.json,0,True,True,True,"1, 2",1,1
31,AboveBelowMinimal.json,1,True,True,True,"1, 2",1,1
32,AboveBelowMinimal.json,2,True,True,True,"2, 3",2,2
33,Center1.json,0,True,True,True,"1, 2, 3",1,1
34,Center1.json,1,False,False,False,,,
35,Center1.json,2,False,False,False,,,
36,Center10.json,0,False,True,True,,1,1
37,Center10.json,1,False,True,True,,1,1
38,Center10.json,2,True,True,True,2,1,1
39,Center2.json,0,False,True,True,,2,2
40,Center2.json,1,False,True,True,,1,1
41,Center2.json,2,False,False,False,,,
42,Center3.json,0,False,True,True,,1,1
43,Center3.json,1,False,False,False,,,
44,Center3.json,2,True,False,False,2,,
45,Center4.json,0,True,True,True,"1, 2",2,2
46,Center4.json,1,False,False,False,,,
47,Center4.json,2,False,False,False,,,
48,Center5.json,0,False,True,True,,1,1
49,Center5.json,1,False,True,True,,1,1
50,Center5.json,2,False,True,True,,1,1
51,Center6.json,0,False,True,True,,2,2
52,Center6.json,1,False,False,False,,,
53,Center6.json,2,False,False,False,,,
54,Center7.json,0,False,True,True,,2,2
55,Center7.json,1,False,True,True,,2,2
56,Center7.json,2,False,False,False,,,
57,Center8.json,0,False,False,False,,,
58,Center8.json,1,False,False,False,,,
59,Center8.json,2,False,False,False,,,
60,Center9.json,0,True,True,True,3,2,2
61,Center9.json,1,False,False,False,,,
62,Center9.json,2,True,False,False,3,,
63,CenterMinimal.json,0,False,True,True,,1,1
64,CenterMinimal.json,1,False,True,True,,1,1
65,CenterMinimal.json,2,False,True,True,,1,1
66,CleanUp1.json,0,True,False,False,"1, 2, 3",,
67,CleanUp1.json,1,True,True,True,2,1,1
68,CleanUp1.json,2,True,False,False,2,,
69,CleanUp10.json,0,False,True,True,,1,1
70,CleanUp10.json,1,False,True,True,,1,1
71,CleanUp10.json,2,False,False,False,,,
72,CleanUp2.json,0,False,False,False,,,
73,CleanUp2.json,1,False,True,True,,1,1
74,CleanUp2.json,2,True,False,False,"1, 2, 3",,
75,CleanUp3.json,0,False,True,True,,1,1
76,CleanUp3.json,1,False,True,True,,1,1
77,CleanUp3.json,2,False,False,False,,,
78,CleanUp4.json,0,False,True,True,,2,2
79,CleanUp4.json,1,False,True,True,,2,2
80,CleanUp4.json,2,False,False,False,,,
81,CleanUp5.json,0,True,True,True,2,1,1
82,CleanUp5.json,1,False,False,False,,,
83,CleanUp5.json,2,False,True,True,,3,3
84,CleanUp6.json,0,True,True,True,1,3,3
85,CleanUp6.json,1,False,False,False,,,
86,CleanUp6.json,2,False,False,False,,,
87,CleanUp7.json,0,False,False,False,,,
88,CleanUp7.json,1,False,False,False,,,
89,CleanUp7.json,2,False,False,False,,,
90,CleanUp8.json,0,False,True,True,,1,1
91,CleanUp8.json,1,False,True,True,,1,1
92,CleanUp8.json,2,False,False,False,,,
93,CleanUp9.json,0,False,True,True,,2,2
94,CleanUp9.json,1,False,True,True,,1,1
95,CleanUp9.json,2,False,False,False,,,
96,CleanUpMinimal.json,0,True,True,True,2,1,1
97,CleanUpMinimal.json,1,False,False,False,,,
98,CleanUpMinimal.json,2,False,False,False,,,
99,CompleteShape1.json,0,False,False,False,,,
100,CompleteShape1.json,1,False,True,True,,1,1
101,CompleteShape1.json,2,False,False,False,,,
102,CompleteShape10.json,0,True,True,True,1,1,1
103,CompleteShape10.json,1,True,True,True,1,1,1
104,CompleteShape10.json,2,False,False,False,,,
