output_id,output
Center3_0,|88|88| |00|00| |33|33|
Center3_1,|4442|4442| |2244|2244| |2220|2220|
Center3_2,|44| |00| |40|
CleanUp1_0,|11111111111|11111111111|11111111111|22222222222|11111111111|22222222222|11211112111|11111111111|11111111111|22222222222|11111111111| |11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11211112111|11111111111|11111111111|11111111111|11111111111| |11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|11111111111|
CleanUp1_1,|888888|999999|888888|999999|888888|999999| |888888|999999|888898|999999|888888|999999| |888888|999999|898898|999999|888888|999999|
CleanUp1_2,|464646464|464646864|464646464|464646464|464648464|468646464|464646484|464646464|464646464| |464646464|468646864|464646464|464646464|484648464|464646464|464846484|464646464|464646464| |464646464|464646464|464646464|464646464|464646464|468646864|464646464|464646464|464646464|
Center9_0,|030003|030003|030003|030003|030003|030003| |030003|030003|030803|030003|030003|030003| |030003|030003|038803|030003|030003|030003|
Center9_1,|7777777777|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000700|0000000000|7777777777| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000| |0000000000|7777777777|0000000000|0700700700|0000000000|0000000700|0000000000|0000000000|7777777777|0000000000|0700700700|
Center9_2,|5555555|0000000|0000000|2000000|5555555|0000000|0000000| |5555555|2000000|0000000|0000000|5555555|0000000|0000000| |5555555|2000000|0000000|2000000|5555555|0000000|0000000|
CleanUp3_0,|0000000000|0044444000|0044444000|0044444000|0044444000|0000000000|0000000000|8888800777|8888800777|8888800777| |0000000000|0044444000|0024344000|0044444002|0044444000|0000002000|0000000000|8888800777|8388800777|8888300727| |0000000000|0044444000|0004344000|0044444000|0044444000|0000000000|0000000000|8888800777|8388800777|8888300707|
CleanUp3_1,|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333|333333333333333| |333333333333333|333333333333333|333333333333233|333322333333333|333333333333333|333333333333333|332333333333332|333333333333333|333333333333333|333333333333333|333333332333333|333233333333333|333333333333333| |000000000000000|000000000000000|000000000000300|000033000000000|000000000000000|000000000000000|003000000000002|000000000000000|000000000000000|000000000000000|000000003000000|000300000000000|000000000000000|
